Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
18,"D Méndez Fernández, M Monperrus, R Feldt…","The open science initiative of the Empirical Software Engineering journal",2019,"… Software Engineering","Springer","https://link.springer.com/article/10.1007/s10664-019-09712-x","https://scholar.google.com/scholar?cites=3480422263978299362&as_sdt=2005&sciodt=2007&hl=en",1,"2022-09-05 09:28:12","HTML","10.1007/s10664-019-09712-x","","",,,,,18,6.00,5,4,3,"… revision, the authors will be proposed and encouraged to submit a replication package. The replication package then undergoes a specific review by one member of a newly created …","https://link.springer.com/article/10.1007/s10664-019-09712-x","https://scholar.google.com/scholar?q=related:4o_J6JvxTDAJ:scholar.google.com/&scioq=source:%22empirical+software+engineering%22+%22replication+package%22&hl=en&as_sdt=2007&as_ylo=2002&as_yhi=2022"
87,"B Chen","Characterizing logging practices in java-based open source software projects–a replication study in apache software foundation",2017,"Empirical Software Engineering","Springer","https://link.springer.com/article/10.1007/s10664-016-9429-5","https://scholar.google.com/scholar?cites=6224418344289008360&as_sdt=2005&sciodt=2007&hl=en",2,"2022-09-05 09:28:12","","10.1007/s10664-016-9429-5","","",,,,,87,17.40,87,1,5,"… future research on this subject, we have prepared a replication package (The replication package 2015). … The replication package (2015) https://www.dropbox.com/s/tf5omwtaylffsbs/…","https://www.eecs.yorku.ca/~chenfsd/resources/emse2016_chen.pdf","https://scholar.google.com/scholar?q=related:6HrFeIGTYVYJ:scholar.google.com/&scioq=source:%22empirical+software+engineering%22+%22replication+package%22&hl=en&as_sdt=2007&as_ylo=2002&as_yhi=2022"
23,"T Kosar, S Gaberc, JC Carver, M Mernik","Program comprehension of domain-specific and general-purpose languages: replication of a family of experiments using integrated development environments",2018,"Empirical Software Engineering","Springer","https://link.springer.com/article/10.1007/s10664-017-9593-2","https://scholar.google.com/scholar?cites=14040744125326670332&as_sdt=2005&sciodt=2007&hl=en",3,"2022-09-05 09:28:12","","10.1007/s10664-017-9593-2","","",,,,,23,5.75,6,4,4,"… made a replication package, containing all relevant materials, available for download Footnote 1 . To preserve the integrity of future replications (because the replication package has …","https://www.researchgate.net/profile/Marjan-Mernik/publication/323073035_Program_comprehension_of_domain-specific_and_general-purpose_languages_replication_of_a_family_of_experiments_using_integrated_development_environments/links/5b72e573299bf14c6da20b51/Program-comprehension-of-domain-specific-and-general-purpose-languages-replication-of-a-family-of-experiments-using-integrated-development-environments.pdf","https://scholar.google.com/scholar?q=related:_Lk_FGS-2sIJ:scholar.google.com/&scioq=source:%22empirical+software+engineering%22+%22replication+package%22&hl=en&as_sdt=2007&as_ylo=2002&as_yhi=2022"
162,"P Tonella, M Torchiano, B Du Bois, T Systä","Empirical studies in reverse engineering: state of the art and future trends",2007,"… Software Engineering","Springer","https://link.springer.com/article/10.1007/s10664-007-9037-5","https://scholar.google.com/scholar?cites=13008047625949289817&as_sdt=2005&sciodt=2007&hl=en",4,"2022-09-05 09:28:12","","10.1007/s10664-007-9037-5","","",,,,,162,10.80,41,4,15,"… a complete replication package. The raw data allow the readers of the study to replicate the statistical analyses and to conduct further analyses. The replication package shall contain all …","https://www.academia.edu/download/41253191/Empirical_studies_in_reverse_engineering20160115-27218-1pfirbv.pdf","https://scholar.google.com/scholar?q=related:WR0SbmXehbQJ:scholar.google.com/&scioq=source:%22empirical+software+engineering%22+%22replication+package%22&hl=en&as_sdt=2007&as_ylo=2002&as_yhi=2022"
71,"S Baltes, P Ralph","Sampling in software engineering research: A critical review and guidelines",2022,"Empirical Software Engineering","Springer","https://link.springer.com/article/10.1007/s10664-021-10072-8","https://scholar.google.com/scholar?cites=17509566509290890111&as_sdt=2005&sciodt=2007&hl=en",5,"2022-09-05 09:28:12","","10.1007/s10664-021-10072-8","","",,,,,71,71.00,36,2,1,"… be provided in an appropriately archived replication package. Alternatively, if the sampling … main text (for shorter algorithms) or the replication package (for longer algorithms). In studies …","https://arxiv.org/pdf/2002.07764","https://scholar.google.com/scholar?q=related:fyNcdfh5_vIJ:scholar.google.com/&scioq=source:%22empirical+software+engineering%22+%22replication+package%22&hl=en&as_sdt=2007&as_ylo=2002&as_yhi=2022"
2,"M Abdi, H Rocha, S Demeyer, A Bergel","Small-Amp: Test amplification in a dynamically typed language",2022,"Empirical Software Engineering","Springer","https://link.springer.com/article/10.1007/s10664-022-10169-8","https://scholar.google.com/scholar?cites=7473521090175974213&as_sdt=2005&sciodt=2007&hl=en",6,"2022-09-05 09:28:12","HTML","10.1007/s10664-022-10169-8","","",,,,,2,2.00,1,4,1,"Some test amplification tools extend a manually created test suite with additional test cases to increase the code coverage. The technique is effective, in the sense that it suggests strong …","https://link.springer.com/article/10.1007/s10664-022-10169-8","https://scholar.google.com/scholar?q=related:RTtUydVHt2cJ:scholar.google.com/&scioq=source:%22empirical+software+engineering%22+%22replication+package%22&hl=en&as_sdt=2007&as_ylo=2002&as_yhi=2022"
146,"P Ralph, S Baltes, G Adisaputri, R Torkar…","Pandemic programming",2020,"… Software Engineering","Springer","https://link.springer.com/article/10.1007/s10664-020-09875-y","https://scholar.google.com/scholar?cites=16993443718540925306&as_sdt=2005&sciodt=2007&hl=en",7,"2022-09-05 09:28:12","HTML","10.1007/s10664-020-09875-y","","",,,,,146,73.00,29,5,2,"… quantitative coding scheme; for example, from 1 for “strongly disagree” to 5 for “strongly agree” The recoding instructions and related scripts are included in our replication package (see …","https://link.springer.com/article/10.1007/s10664-020-09875-y","https://scholar.google.com/scholar?q=related:epk54gbX1OsJ:scholar.google.com/&scioq=source:%22empirical+software+engineering%22+%22replication+package%22&hl=en&as_sdt=2007&as_ylo=2002&as_yhi=2022"
4,"A Krutauz, T Dey, PC Rigby, A Mockus","Do code review measures explain the incidence of post-release defects?",2020,"Empirical Software Engineering","Springer","https://link.springer.com/article/10.1007/s10664-020-09837-4","https://scholar.google.com/scholar?cites=5873285013669085559&as_sdt=2005&sciodt=2007&hl=en",8,"2022-09-05 09:28:12","","10.1007/s10664-020-09837-4","","",,,,,4,2.00,1,4,2,"… Although we include the ITK results in our replication package (Krutauz et al. 2020), we only present the Qt results in this work. To improve external validity, we replicate the study on the …","https://arxiv.org/pdf/2005.09217","https://scholar.google.com/scholar?q=related:dwFfGJoZglEJ:scholar.google.com/&scioq=source:%22empirical+software+engineering%22+%22replication+package%22&hl=en&as_sdt=2007&as_ylo=2002&as_yhi=2022"
0,"W Mahmood, D Strüber, A Anjorin, T Berger","Effects of variability in models: a family of experiments",2022,"… Software Engineering","Springer","https://link.springer.com/article/10.1007/s10664-021-10112-3","",9,"2022-09-05 09:28:12","HTML","10.1007/s10664-021-10112-3","","",,,,,0,0.00,0,4,1,"… We provide a replication package (Mahmood et al. 2021) that includes our experimental … with activity diagrams as the featured model type (replication package (Mahmood et al. 2021), …","https://link.springer.com/article/10.1007/s10664-021-10112-3","https://scholar.google.com/scholar?q=related:rPQ3S7n2ZUMJ:scholar.google.com/&scioq=source:%22empirical+software+engineering%22+%22replication+package%22&hl=en&as_sdt=2007&as_ylo=2002&as_yhi=2022"
31,"MA Storey, NA Ernst, C Williams…","The who, what, how of software engineering research: a socio-technical framework",2020,"… Software Engineering","Springer","https://link.springer.com/article/10.1007/s10664-020-09858-z","https://scholar.google.com/scholar?cites=4269989356511107871&as_sdt=2005&sciodt=2007&hl=en",10,"2022-09-05 09:28:12","","10.1007/s10664-020-09858-z","","",,,,,31,15.50,8,4,2,"… We rely mainly on the replication package to ensure transparency. Our coding spreadsheet has additional information on any of the papers where we disagreed or where we felt our …","https://arxiv.org/pdf/1905.12841","https://scholar.google.com/scholar?q=related:HxuLRbIMQjsJ:scholar.google.com/&scioq=source:%22empirical+software+engineering%22+%22replication+package%22&hl=en&as_sdt=2007&as_ylo=2002&as_yhi=2022"
