Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
76,"S Raemaekers, A Van Deursen…","The maven repository dataset of metrics, changes, and dependencies",2013,"… Software Repositories …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6624031/","https://scholar.google.com/scholar?cites=15177499937815021055&as_sdt=2005&sciodt=2007&hl=en",1,"2022-09-05 09:31:27","","","","",,,,,76,8.44,25,3,9,"… The script getunits.sh in the replication package is the main interface to query the Berkeley DB database directly and can be used to obtain information on single methods, classes or …","","https://scholar.google.com/scholar?q=related:_0X6k8dPodIJ:scholar.google.com/&scioq=source:%22mining+software+repositories%22+%22replication+package%22&hl=en&as_sdt=2007&as_ylo=2002&as_yhi=2022"
25,"C Macho, S McIntosh, M Pinzger","Extracting build changes with builddiff",2017,"… Mining Software Repositories …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7962386/","https://scholar.google.com/scholar?cites=6171829037462856297&as_sdt=2005&sciodt=2007&hl=en",2,"2022-09-05 09:31:27","","","","",,,,,25,5.00,8,3,5,"… of 30 open source Java projects, (3) an evaluation of the performance of this tool, (4) two empirical studies of the frequency and time of build changes, and (5) a replication package that …","https://arxiv.org/pdf/1703.08527","https://scholar.google.com/scholar?q=related:aSJqUM-9plUJ:scholar.google.com/&scioq=source:%22mining+software+repositories%22+%22replication+package%22&hl=en&as_sdt=2007&as_ylo=2002&as_yhi=2022"
12,"G Haben, S Habchi, M Papadakis…","A replication study on the usability of code vocabulary in predicting flaky tests",2021,"… on Mining Software …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9463145/","https://scholar.google.com/scholar?cites=4048271355539445970&as_sdt=2005&sciodt=2007&hl=en",3,"2022-09-05 09:31:27","","","","",,,,,12,12.00,3,4,1,"… Our replication package containing code, models and datasets is available online1. … This dataset and our experiment toolset are available in a comprehensible replication package. …","https://orbilu.uni.lu/bitstream/10993/46924/1/MSR21_FlakyReplication.pdf","https://scholar.google.com/scholar?q=related:0lhRZVlZLjgJ:scholar.google.com/&scioq=source:%22mining+software+repositories%22+%22replication+package%22&hl=en&as_sdt=2007&as_ylo=2002&as_yhi=2022"
103,"G Robles","Replicating msr: A study of the potential replicability of papers published in the mining software repositories proceedings",2010,"… Conference on Mining Software Repositories (MSR …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/5463348/","https://scholar.google.com/scholar?cites=13510596766124019218&as_sdt=2005&sciodt=2007&hl=en",4,"2022-09-05 09:31:27","","","","",,,,,103,8.58,103,1,12,"… , the way to refer to this information in the paper is only a URL and could be appended, in the same way as keywords are usually provided, just after the abstract as replication package[…","","https://scholar.google.com/scholar?q=related:Eg5dNC1If7sJ:scholar.google.com/&scioq=source:%22mining+software+repositories%22+%22replication+package%22&hl=en&as_sdt=2007&as_ylo=2002&as_yhi=2022"
29,"C Pornprasit…","Jitline: A simpler, better, faster, finer-grained just-in-time defect prediction",2021,"… Software Repositories …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9463103/","https://scholar.google.com/scholar?cites=10989597472798437286&as_sdt=2005&sciodt=2007&hl=en",5,"2022-09-05 09:31:27","","","","",,,,,29,29.00,15,2,1,"… The used random seed number is reported in our replication package at Zenodo: http://doi.org/10.5281/zenodo.4433498. We follow the experimental setting of the original study [9, 10] (…","https://arxiv.org/pdf/2103.07068","https://scholar.google.com/scholar?q=related:pm-uFq3kgpgJ:scholar.google.com/&scioq=source:%22mining+software+repositories%22+%22replication+package%22&hl=en&as_sdt=2007&as_ylo=2002&as_yhi=2022"
282,"L Ponzanelli, G Bavota, M Di Penta, R Oliveto…","Mining stackoverflow to turn the ide into a self-confident programming prompter",2014,"… software repositories","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2597073.2597077","https://scholar.google.com/scholar?cites=6016967981264310966&as_sdt=2005&sciodt=2007&hl=en",6,"2022-09-05 09:31:27","","10.1145/2597073.2597077","","",,,,,282,35.25,56,5,8,"… The detailed checklists are available in our replication package. The evaluators compared their independent, and conducted a discussion in case of diverging scores. This happened …","https://people.lu.usi.ch/bavotg/papers/msr2014_Prompter.pdf","https://scholar.google.com/scholar?q=related:tpIo7H-QgFMJ:scholar.google.com/&scioq=source:%22mining+software+repositories%22+%22replication+package%22&hl=en&as_sdt=2007&as_ylo=2002&as_yhi=2022"
3,"W Zhu, MW Godfrey","Mea culpa: How developers fix their own simple bugs differently from other developers",2021,"… on Mining Software Repositories (MSR)","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9463125/","https://scholar.google.com/scholar?cites=15180776778503046878&as_sdt=2005&sciodt=2007&hl=en",7,"2022-09-05 09:31:27","","","","",,,,,3,3.00,2,2,1,"… We also provide a full replication package for our work1. We cloned every project from the list of top 100 Maven projects from the SStuBs dataset in Jan 2021. One of the projects b3log/…","https://arxiv.org/pdf/2103.11894","https://scholar.google.com/scholar?q=related:3kYsgQz0rNIJ:scholar.google.com/&scioq=source:%22mining+software+repositories%22+%22replication+package%22&hl=en&as_sdt=2007&as_ylo=2002&as_yhi=2022"
4,"S Nielebock, P Blockhaus, J Krüger…","AndroidCompass: A Dataset of Android Compatibility Checks in Code Repositories",2021,"… Software Repositories …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9463151/","https://scholar.google.com/scholar?cites=16370015154578002004&as_sdt=2005&sciodt=2007&hl=en",8,"2022-09-05 09:31:27","","","","",,,,,4,4.00,1,4,1,"… In our replication package, we provide a script using a regular expression to extract the code section succeeding the compatibility check. Since it is a coarse method and to avoid …","https://arxiv.org/pdf/2103.09620","https://scholar.google.com/scholar?q=related:VBBiEA36LeMJ:scholar.google.com/&scioq=source:%22mining+software+repositories%22+%22replication+package%22&hl=en&as_sdt=2007&as_ylo=2002&as_yhi=2022"
0,"A Moharil, D Orlov, S Jameel, T Trouwen…","Between JIRA and GitHub: ASFBot and its Influence on Human Comments in Issue Trackers",2022,"… Software Repositories","win.tue.nl","https://www.win.tue.nl/~aserebre/MSR2022.pdf","",9,"2022-09-05 09:31:27","PDF","","","",,,,,0,0.00,0,5,1,"… The scripts and data used for this study are available as a replication package on Figshare.… as part of the replication package in the Data Cleaning folder. …","https://www.win.tue.nl/~aserebre/MSR2022.pdf","https://scholar.google.com/scholar?q=related:jVNQpjbBnBIJ:scholar.google.com/&scioq=source:%22mining+software+repositories%22+%22replication+package%22&hl=en&as_sdt=2007&as_ylo=2002&as_yhi=2022"
12,"E Parra, A Ellis, S Haiduc","Gittercom: A dataset of open source developer communications in gitter",2020,"… Conference on Mining Software Repositories","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3379597.3387494","https://scholar.google.com/scholar?cites=8262491987291173062&as_sdt=2005&sciodt=2007&hl=en",10,"2022-09-05 09:31:27","","10.1145/3379597.3387494","","",,,,,12,6.00,4,3,2,"Team communication is essential for the development of modern software systems. For distributed software development teams, such as those found in many open source projects, this …","https://par.nsf.gov/servlets/purl/10220039","https://scholar.google.com/scholar?q=related:xnAAlq9EqnIJ:scholar.google.com/&scioq=source:%22mining+software+repositories%22+%22replication+package%22&hl=en&as_sdt=2007&as_ylo=2002&as_yhi=2022"
